"","DrugName"
"10022","DOXORUBICINPRE-FILLEDSYRINGE50mgin25ml"
"10023","DOXORUBICINPRE-FILLEDSYRINGE5mgin2.5ml"
"10024","DOXYCYCLINE 100 mg Capsules"
"10025","DOXYCYCLINE 100 mg Dispersible Tablets"
"10026","Doxycycline 100mg capsules"
"10027","DOXYCYCLINE 100mg Capsules"
"10028","DRAPE - FOLDED 50CM X 50CM"
"10029","DRESSING"
"10030","DRESSING-TEGADERM  6X 7CM [100"
"10031","DRESSING-TEGADERM 10X12CM [50]"
"10032","DRESSING PACK RML101-003"
"10033","DRESSING TEGADERM [100] 5X5.7"
"10034","DRESSING TOWEL 43 X 50CM ST"
"10035","DRESSING TOWEL 45 X 45CM ST"
"10036","DRIED PROTHROMBIN COMPLEX"
"10037","Drip Stand - Collapsable"
"10038","Dronedarone"
"10039","DRONEDARONE"
"10040","Drug for Trial BMN 270-201"
"10041","Drug for Trial BMN 270-301"
"10042","Drug for Trial BMN 270-302"
"10043","Drug for Trial CT-AMT-061-02"
"10044","Drug Name Not Provided"
"10045","Drug/Device etc: AFLIBERCEPT EYLEA 4 mg in 0.1mL Intravitreal Injection"
"10046","Drug/Device etc: BEVACIZUMAB 2.5 mg in 0.1mL Injection Prefilled Syringe"
"10047","Drug/Device etc: RANIBIZUMAB LUCENTIS 10 mg in 1ml Injection"
"10048","DRUGS - FP10"
"10049","Drugs Miscellaneous"
"10050","Drugs used in Hypoplastic & Renal"
"10051","DULAGLUTIDE"
"10052","DULOXETINE 20MG CAPSULE (28 CAPS)"
"10053","DULOXETINE 30 mg Capsules"
"10054","DULOXETINE 30MG CAPSULE (28 CAPS)"
"10055","DULOXETINE 60 mg Capsules"
"10056","DULOXETINE 60MG CAPSULE (28 CAPS)"
"10057","DULOXETINE30MGCAPSULE(28CAPS)"
"10058","DUODERM EXTRA THIN DRESSING 10 X 10CM"
"10059","Duodopa"
"10060","DUODOPA"
"10061","DUODOPA  5mg+20mg/1ml intestinal gel"
"10062","DUODOPA (Co-careldopa) (Homecare)"
"10063","DUODOPA INTESTINAL GEL"
"10064","DUODOPA INTESTINAL GEL (HOME CARE)"
"10065","DUODOPA INTESTINAL GEL 100ML CASSETTE (ABBVIE LTD)"
"10066","DUODOPA INTESTINAL GEL 100mL CASSETTE (Initiation PK)(14"
"10067","DUODOPA INTESTINAL GEL 100mL CASSETTE(7)(Homecare)"
"10068","DUODOPA!INTESTINAL GEL!100mL CASSETTE (Initiation PK)(14"
"10069","DUODOPA!INTESTINAL GEL!100mL CASSETTE(7)(Homecare)"
"10070","Duodopa_HC"
"10071","Dupilumab"
"10072","DUPILUMAB"
"10073","Dupilumab-á"
"10074","DUPILUMAB - HOMECARE"
"10075","DUPILUMAB (2 x 2mL syringe Hom"
"10076","DUPILUMAB (2 x 2mL syringe Home)"
"10077","DUPILUMAB (Dupixent FOR HOMECARE THERAPY)"
"10078","DUPILUMAB (DUPIXENT) (Homecare)"
"10079","DUPILUMAB (DUPIXENT) 300 mg in 2mL Pre-filled Syringe"
"10080","DUPILUMAB (DUPIXENT) 300 mg Pre-filled Syringe"
"10081","DUPILUMAB (DUPIXENT)_(HOMECARE) 200mg in 1.14mL Subcutaneous Injection"
"10082","DUPILUMAB (DUPIXENT)_(HOMECARE) 300 mg in 2mL Pre-filled disposable device"
"10083","DUPILUMAB (FOC Homecare) 150 mg in 1ml Pre-Filled Syringe"
"10084","DUPILUMAB (FOC via EAMS) 300 mg in 2ml Subcutaneou"
"10085","DUPILUMAB (HOME DELIVERY)"
"10086","DUPILUMAB (HOME) 300 mg in 2mL Subcutaneous Injection"
"10087","Dupilumab (homecare)"
"10088","Dupilumab (Homecare)"
"10089","DUPILUMAB (HOMECARE)"
"10090","DUPILUMAB (HOMECARE) 300 mg /2mL Pre-filled injection syringe"
"10091","DUPILUMAB (Homecare) 300 mg in 2ml Pre-Filled Syringe"
"10092","DUPILUMAB (HOMECARE) DUPIXENT"
"10093","DUPILUMAB (HOMECARE) Pre Filled Syringe"
"10094","DUPILUMAB (Patient Access Scheme Price) 200 mg prefilled syringe"
"10095","DUPILUMAB **HOMECARE**"
"10096","DUPILUMAB 200mg/1.14mL SOLUTION FOR INJECTION"
"10097","DUPILUMAB 300 mg prefilled syringe"
"10098","DUPILUMAB 300mg/2mL SOLUTION FOR  INJECTION (HOMEC"
"10099","DUPILUMAB 300mg/2mL SOLUTION FOR INJECTION (2) HOMECARE"
"10100","Dupilumab 300mg/2ml solution for injection pre-filled syringes"
"10101","DUPILUMAB 300MG/2ML SOLUTION FOR INJECTION PRE-FILLED SYRINGES"
"10102","dupilumab 300mg/2ml syringe"
"10103","DUPILUMAB!300mg/2mL!SOLUTION FOR INJECTION (2) HOMECARE"
"10104","DUPILUMAB* (HOMECARE) 300 mg Pre-Filled Syringe"
"10105","Dupilumab?"
"10106","DUPIXENT (HOMECARE) 300 mg in 2mL Pre-filled Syringe"
"10107","Dupixent 300mg/2ml solution for injection pre-filled syringes (Sanofi)"
"10108","DUPIXENT300MG/2MLSOLUTIONFORINJECTIONPRE-FILLEDSYRINGES(SANOFI)2PRE-FILLEDDISPOSABLEINJEC"
"10109","durvalumab"
"10110","Durvalumab"
"10111","DURVALUMAB"
"10112","DURVALUMAB (BI)"
"10113","DURVALUMAB (Compassionate Supply)"
"10114","DURVALUMAB (CYTOS)"
"10115","DURVALUMAB (FOC)"
"10116","DURVALUMAB (FOC) (EAMS)"
"10117","DURVALUMAB (FOC) 500 mg in 10ml Injection"
"10118","DURVALUMAB (IMFINZI)"
"10119","DURVALUMAB (MEDI4736) [CLINICAL TRIAL]"
"10120","DURVALUMAB 120 mg in 2.4mL Vial"
"10121","DURVALUMAB 120mg/2.4ml  INJ"
"10122","DURVALUMAB 120mg/2.4mL CONC. FOR SOLUTION FOR INFUSION 1"
"10123","Durvalumab 120mg/2.4mL solution for infusion"
"10124","Durvalumab 120mg/2.4ml solution for infusion vials"
"10125","DURVALUMAB 120MG/2.4ML SOLUTION FOR INFUSION VIALS 1 VIAL"
"10126","DURVALUMAB 500 mg in 10ml Intravenous Infusion"
"10127","DURVALUMAB 500 mg in 10mL Vial"
"10128","DURVALUMAB 500mg/10mL CONC. FOR SOLUTION FOR INFUSION x1"
"10129","DURVALUMAB 500mg/10ml INJ"
"10130","Durvalumab 500mg/10mL solution for infusion"
"10131","DURVALUMAB 500MG/10ML SOLUTION FOR INFUSION VIALS 1 VIAL"
"10132","Durvalumab CDF"
"10133","DURVALUMAB CDF"
"10134","DURVALUMAB IV INFUSION (patient use)"
"10135","DURVALUMAB mg Intravenous Infusion *"
"10136","DURVALUMAB!120mg/2.4mL!CONC. FOR SOLUTION FOR INFUSION"
"10137","DURVALUMAB!120mg/2.4mL!CONC. FOR SOLUTION FOR INFUSION 1"
"10138","DURVALUMAB!500mg/10mL!CONC. FOR SOLUTION FOR INFUSION"
"10139","DURVALUMAB!500mg/10mL!CONC. FOR SOLUTION FOR INFUSION x1"
"10140","DUTASTERIDE 500 microgram Capsules"
"10141","DVT177X"
"10142","DVT213C"
"10143","DVT274I"
"10144","DVU197R"
"10145","DVU209D"
"10146","DYMISTA NASAL SPRAY (120 dose)"
"10147","Dysport"
"10148","DYSPORT"
"10149","DYSPORT  500UNIT POWDER FOR SOLUTION FOR INJECTION"
"10150","Dysport 500unit powder for solution for injection vials"
"10151","E.COLI ASPARAGINASE 10,000units INJECTION"
"10152","E45  Cream"
"10153","E45 CREAM"
"10154","E45!CREAM"
"10155","E7386 CCR: 4713 FOR (PN: E7386-G000-101) TRIAL"
"10156","ECLIPSE 100  TWO DAY INFUSION PUMP"
"10157","ECLIPSE 100 TWO DAY INFUSION PUMP"
"10158","ECLIPSE 2 DAY INFUSOR (code: C100020)"
"10159","ECLIPSE 2 DAY INFUSOR (Code:C100020)"
"10160","ECLIPSE 270  TWO DAY INFUSION PUMP"
"10161","ECLIPSE 270 TWO DAY INFUSION PUMP"
"10162","ECLIPSE C-SERIES 7 DAY PUMP 100ML (0.5ML/HR) (C100"
"10163","ECLIPSE INFUSOR CODE.C060020 60ML"
"10164","eculizumab"
"10165","Eculizumab"
"10166","ECULIZUMAB"
"10167","ECULIZUMAB - ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)"
"10168","ECULIZUMAB - PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA"
"10169","ECULIZUMAB (HOME DELIVERY)"
"10170","ECULIZUMAB (HOMECARE)"
"10171","ECULIZUMAB (SOLIRIS) 300 mg in 30ml Solution for I/V infusion"
"10172","ECULIZUMAB 10 mg in 1ml Injection Vial"
"10173","ECULIZUMAB 300 mg in 30mL Injection"
"10174","ECULIZUMAB 300 mg in 30ml Solution for Infusion"
"10175","ECULIZUMAB 300 mg Injection"
"10176","ECULIZUMAB 300 mg/30mL Solution for Infusion Vials"
"10177","ECULIZUMAB 300mg/30mL CONC FOR INF (1 vial) (HOMECARE)"
"10178","ECULIZUMAB 300mg/30mL CONC. FOR INF (1 vial)(HomeCare)"
"10179","ECULIZUMAB 300mg/30mL CONCENTRATE FOR INFUSION"
"10180","ECULIZUMAB 300mg/30mL CONCENTRATE FOR INFUSION (HOME)"
"10181","ECULIZUMAB 300MG/30ML SOLUTION FOR INFUSION VIALS 1 VIAL"
"10182","ECULIZUMAB CONCENTRATE FOR IV INFUSION 10mg/ml"
"10183","ECULIZUMAB IV INFUSION in N/S (Patient use)"
"10184","ECULIZUMAB!300mg/30mL!CONC INFUSION(HOMECARE)"
"10185","ECULIZUMAB!300mg/30mL!CONC. FOR INF (1 vial)(HomeCare)"
"10186","ECULIZUMAB!300mg/30mL!CONCENTRATE FOR INFUSION"
"10187","ECULIZUMAB!300mg/30mL!CONCENTRATE FOR INFUSION (1 vial)"
"10188","ECULIZUMAB_(HOMECARE) 300 mg in 30mL Injection"
"10189","ECULIZUMAB_HC"
"10190","ECULIZUMABCONCENTRATEFORIVINFUSION10mg/ml"
"10191","EDOXABAN 30 mg Film Coated Tablets"
"10192","EDOXABAN 30MG TABLETS (28 TABS)"
"10193","EDOXABAN 60 mg Film Coated Tablets"
"10194","EDOXABAN 60MG TABLETS (28 TABS)"
"10195","EDOXABAN!60mg!TABLETS"
"10196","EDOXABAN60MGTABLETS(28TABS)"
"10197","Edurant (Rilpivirine)"
"10198","EFAVIR+EMTRIC+TENOF 600MG/200MG/245MG TABS VIA HOMECARE"
"10199","Efavirenz"
"10200","EFAVIRENZ"
"10201","EFAVIRENZ - GENERIC"
"10202","EFAVIRENZ - GENERIC (HOMECARE)"
"10203","EFAVIRENZ  (GENERIC) (HOMECARE) 600 mg Tablets"
"10204","EFAVIRENZ  (Generic) 600 mg Tablets"
"10205","EFAVIRENZ  (Sustiva) 200 mg Capsules"
"10206","efavirenz  600mg tablets"
"10207","EFAVIRENZ (HOMECARE)"
"10208","EFAVIRENZ (HOMECARE) - ALCURA"
"10209","EFAVIRENZ (Overlabelled Pack) $"
"10210","Efavirenz (Sustiva)"
"10211","EFAVIRENZ + EMTRICITABINE + TENOFOVIR"
"10212","EFAVIRENZ 200 mg Capsules"
"10213","EFAVIRENZ 600 EMTRICITABINE 200 TENOFOVIR 245 (Homecare)"
"10214","EFAVIRENZ 600 mg Enteric Coated Tablets"
"10215","EFAVIRENZ 600 mg Tablets"
"10216","EFAVIRENZ 600 mg Tablets *"
"10217","EFAVIRENZ 600mg / EMTRICITABINE 200mg / TENOFOVIR 245mg"
"10218","EFAVIRENZ 600mg / EMTRICITABINE 200mg / TENOFOVIR 245mg (ATRIPLA) Tablets *"
"10219","Efavirenz 600mg / Emtricitabine 200mg / Tenofovir disoproxil 245mg tablets"
"10220","EFAVIRENZ 600MG EMTRICITABINE 200MG TENOFOVIR 245MG T.30"
"10221","Efavirenz 600mg tablets"
"10222","EFAVIRENZ 600MG TABLETS                 Benefit Share"
"10223","EFAVIRENZ 600MG TABLETS (30 TABS) VIA HOMECARE"
"10224","EFAVIRENZ 600MG TABLETSBenefit Share"
"10225","EFAVIRENZ 600mg!EMTRICITABINE 200mg!TENOFOVIR 245mg T.30"
"10226","EFAVIRENZ 600mg.EMTRICITABINE 200mgTENOFOVIR 245mg(HOMECARE)"
"10227","EFAVIRENZ HOMECARE 600 mg Tablets 30 Tablet Pack"
"10228","EFAVIRENZ with EMTRICITABINE & TENOFOVIR"
"10229","EFAVIRENZ with EMTRICITABINE & TENOFOVIR 600mg/200mg/245mg"
"10230","EFAVIRENZ!600mg!TABLETS"
"10231","EFAVIRENZ!600mg!TABLETS (30 tabs)"
"10232","EFAVIRENZ!600mg!TABLETS (30 tabs) VIA HOMECARE"
"10233","Efmoroctocog alfa"
"10234","EFMOROCTOCOG ALFA"
"10235","EFRALOCTOCOG ALFA / EFMOROCTOCOG ALFA / FACTOR VIII FC FUSION PROTEIN"
"10236","EFTRENONACOG"
"10237","Eftrenonacog alfa"
"10238","EFTRENONACOG ALFA"
"10239","EFUDIX 5 % Cream"
"10240","EGFR"
"10241","ELAPEGADEMASE - lvlr *"
"10242","Elaprase"
"10243","Elastomeric Pump (Homepump C-Series) 125Ml"
"10244","Elbasvir"
"10245","ELBASVIR"
"10246","ELBASVIR - GRAZOPREVIR"
"10247","ELBASVIR  +  GRAZOPREVIR"
"10248","ELBASVIR & GRAZOPEVIR"
"10249","ELBASVIR & GRAZOPREVIR"
"10250","ELBASVIR & GRAZOPREVIR 50 mg / 100 mg Tablets"
"10251","ELBASVIR & GRAZOPREVIR 50mg-100mg Tablets"
"10252","ELBASVIR & GRAZOPREVIR 50mg/100mg Tablets"
"10253","ELBASVIR / GRAZOPRAVIR [ZEPATIER] 50 mg/100mg Tablets"
"10254","Elbasvir / Grazoprevir"
"10255","ELBASVIR / GRAZOPREVIR"
"10256","ELBASVIR / GRAZOPREVIR "
"10257","ELBASVIR / GRAZOPREVIR (HOMECARE)"
"10258","ELBASVIR / GRAZOPREVIR (ZEPATIER)"
"10259","ELBASVIR + GRAZOPREVIR"
"10260","ELBASVIR + GRAZOPREVIR (ZEPATIER (Elbasivir 50mg / Grazoprevir 100mg)  Tablets)"
"10261","ELBASVIR + GRAZOPREVIR (ZEPATIER) (HOME CARE)"
"10262","ELBASVIR 50mg  GRAZOPREVIR 100mg TABLETS"
"10263","ELBASVIR 50mg & GRAZOPREVIR 100mg"
"10264","ELBASVIR 50mg / GRASOPREVIR 100mg  Film Coated Tablets"
"10265","ELBASVIR 50mg / GRAZOPREVIR 100mg"
"10266","ELBASVIR 50mg / GRAZOPREVIR 100mg (28 tablet Pack)"
"10267","ELBASVIR 50mg / GRAZOPREVIR 100mg (ZEPATIER)"
"10268","ELBASVIR 50MG / GRAZOPREVIR 100MG TABLET"
"10269","ELBASVIR 50MG / GRAZOPREVIR 100MG TABLETS"
"10270","ELBASVIR 50MG / GRAZOPREVIR 100MG TABLETService Fee"
"10271","ELBASVIR 50mg AND GRAZOPREVIR 100mg (HOMECARE)"
"10272","ELBASVIR 50mg and GRAZOPREVIR 100mg (ZEPATIER)"
"10273","ELBASVIR 50mg GRAZOPREVIR 100mg"
"10274","ELBASVIR 50mg GRAZOPREVIR 100mg  Tablets"
"10275","Elbasvir 50mg Grazoprevir 100mg Tablet"
"10276","Elbasvir 50MG Grazoprevir 100MG Tabs"
"10277","ELBASVIR 50mg with GRAZOPREVIR 100mg (Zepatier)"
"10278","ELBASVIR 50MG, GRAZOPREVIR 100MG  Tablets"
"10279","ELBASVIR 50mg/ GRAZOPREVIR 100mg TABLETS (28 tabs)"
"10280","ELBASVIR 50MG/ GRAZOPREVIR 100MG TABLETS (28 TABS)"
"10281","ELBASVIR 50mg/ GRAZOPREVIR 100mg TABLETS (28 tabs)(HOME)"
"10282","ELBASVIR 50mg/ GRAZOPREVIR 100mg TABLETS (28 tabs)Service Fee"
"10283","ELBASVIR 50mg/!GRAZOPREVIR 100mg!TABLETS"
"10284","ELBASVIR 50mg/!GRAZOPREVIR 100mg!TABLETS (28 tabs)"
"10285","ELBASVIR 50mg/GRAZOPREVIR 100mg  Tablets"
"10286","ELBASVIR AND GRAZOPRAVIR [ZEPATIER] 50 mg/100mg Tablets"
"10287","ELBASVIR AND GRAZOPREVIR"
"10288","Elbasvir with Grazoprevir"
"10289","ELBASVIR WITH GRAZOPREVIR"
"10290","ELBASVIR WITH GRAZOPREVIR TABLET 50mg / 100mg"
"10291","ELBASVIR/ GRAZOPREVIR"
"10292","ELBASVIR/ GRAZOPREVIR 50mg/100mg"
"10293","Elbasvir/Grazoprevir"
"10294","ELBASVIR/GRAZOPREVIR"
"10295","ELBASVIR/GRAZOPREVIR (ZEPATIER)"
"10296","ELBASVIR/GRAZOPREVIR 50mg/100mg TABLETS"
"10297","ELBASVIR+GRAZOPREVIR"
"10298","ELBASVIRá/ GRAZOPREVIR"
"10299","ELBASVIRWITHGRAZOPREVIRTABLET50mg/100mg"
"10300","ELECTROLYTE G SOLUTION"
"10301","Eliglustat"
"10302","ELIGLUSTAT (HOME DELIVERY)"
"10303","Eligustat"
"10304","Elocta"
"10305","ELOCTA"
"10306","ELOCTA (RECOMBINANT FACTOR VIII)"
"10307","ELOCTA (RECOMBINANT FACTOR VIII) (HOMECARE)"
"10308","Elocta 1,000unit powder and solvent for solution for injection vials"
"10309","ELOCTA 2000iu"
"10310","Elocta 250unit powder and solvent for solution for injection vials"
"10311","Elocta 500unit powder and solvent for solution for injection vials"
"10312","ELOCTA FVIII"
"10313","ELOCTA VIAL 1000IU             USP5232"
"10314","ELOCTA VIAL 1000IUáááááááááááá USP5232"
"10315","ELOCTA VIAL 1500IU               USP5239"
"10316","ELOCTA VIAL 2000IU               USP5246"
"10317","ELOCTA VIAL 250IU                USP5218"
"10318","ELOCTA VIAL 3000IU               USP5253"
"10319","ELOCTA VIAL 500IU                USP5225"
"10320","Elosulfase"
"10321","Elosulfase Alfa"
"10322","ELOSULFASE ALFA"
"10323","ELOSULFASE ALPHA"
"10324","Elotuzumab"
"10325","ELOTUZUMAB (Compassionate Supply)"
"10326","Eltrombopag"
"10327","ELTROMBOPAG"
"10328","ELTROMBOPAG  25MG TABLETS"
"10329","ELTROMBOPAG  50MG TABLETS"
"10330","ELTROMBOPAG (HOMECARE)"
"10331","ELTROMBOPAG (REVOLADE)"
"10332","ELTROMBOPAG 25 mg Film Coated Tablets"
"10333","ELTROMBOPAG 25 mg Tablets"
"10334","ELTROMBOPAG 25 mg Tablets 28 Tablet Pack"
"10335","ELTROMBOPAG 25mg TABLETS"
"10336","ELTROMBOPAG 25MG TABLETS"
"10337","ELTROMBOPAG 50 mg Film Coated Tablets"
"10338","ELTROMBOPAG 50 mg Tablets"
"10339","ELTROMBOPAG 50 mg Tablets 28 Tablet Pack"
"10340","ELTROMBOPAG 50mg TABLETS"
"10341","ELTROMBOPAG 50MG TABLETS"
"10342","ELTROMBOPAG 50MG TABLETS                "
"10343","ELTROMBOPAG 50MG TABLETS                Benefit Sh"
"10344","ELTROMBOPAG 50MG TABLETS                Benefit Share"
"10345","ELTROMBOPAG 50mg TABLETS (28 tabs)"
"10346","ELTROMBOPAG 50mg TABLETS (28 tabs)Benefit Share"
"10347","Eltrombopag 50mg tablets 28 tablet"
"10348","ELTROMBOPAG OLAMINE"
"10349","Eltrombopag Tabs 25MG"
"10350","Eltrombopag Tabs 50MG"
"10351","Eltrombopag Tabs 75MG"
"10352","ELTROMBOPAG!25mg!TABLETS"
"10353","ELTROMBOPAG!50mg!TABLETS"
"10354","ELTROMBOPAG!75mg!TABLETS"
"10355","ELTROMOPAG"
"10356","EMCIZUMAB"
"10357","EMERGENCY DELIVERY (HOMECARE HPN) BBRAUN"
"10358","Emicizumab"
"10359","EMICIZUMAB"
"10360","EMICIZUMAB  60 mg in 0.4ml Injection"
"10361","Emicizumab (EAMS)"
"10362","EMICIZUMAB (HEMLIBRA)"
"10363","EMICIZUMAB (HOMECARE)"
"10364","Emicizumab : Hemlibra"
"10365","EMICIZUMAB [HEMLIBRA] (HOMECARE) 105 mg/0.7mL Solution for Injection"
"10366","EMICIZUMAB [HEMLIBRA] (HOMECARE) 150 mg/1mL Solution for Injection"
"10367","EMICIZUMAB [HEMLIBRA] (HOMECARE) 30 mg/1mL Solution for Injection"
"10368","EMICIZUMAB [HEMLIBRA] (HOMECARE) 60 mg/0.4mL Solution for Injection"
"10369","EMICIZUMAB 105 mg in 0.7mL Injection"
"10370","EMICIZUMAB 105 mg/0.7mL Solution for Injection Vials"
"10371","EMICIZUMAB 105mg/0.7mL INJECTION"
"10372","EMICIZUMAB 150 mg in 1ml Injection"
"10373","EMICIZUMAB 150 mg in 1mL Injection"
"10374","EMICIZUMAB 150 mg/1mL Solution for Injection Vials"
"10375","EMICIZUMAB 150mg/1mL INJECTION"
"10376","EMICIZUMAB 30 mg in 1ml Injection"
"10377","EMICIZUMAB 30 mg in 1mL Injection"
"10378","EMICIZUMAB 30mg/1mL INJECTION"
"10379","EMICIZUMAB 60 mg in 0.4mL Injection"
"10380","EMICIZUMAB 60 mg/0.4mL Solution for Injection Vials"
"10381","EMICIZUMAB 60mg/0.4mL INJECTION"
"10382","Emicizumab Vials 105MG/0.7ML"
"10383","Emicizumab Vials 150MG/1ML Sol For Inj"
"10384","Emicizumab Vials 60MG/0.4ML"
"10385","EMICIZUMAB!105mg/0.7mL!(HEMLIBRA) (1 VIAL)"
"10386","EMICIZUMAB!60mg/0.4mL!INJECTION"
"10387","EMICIZUMAB_(HOMECARE) 105 mg in 0.7mL Injection"
"10388","EMICIZUMAB_(HOMECARE) 150 mg in 1mL Injection"
"10389","EMICIZUMAB_(HOMECARE) 30 mg in 1mL Injection"
"10390","EMICIZUMAB_(HOMECARE) 60 mg in 0.4mL Injection"
"10391","EMICIZUMAB_HC"
"10392","EMITRICITABINE & TENOFOVIR"
"10393","Emla"
"10394","EMLA"
"10395","EMLA 5 % Cream"
"10396","EMLA CREAM (5g) (with dressings)PK 5"
"10397","Emla Cream 5g <5> & Drsg <12>"
"10398","Emla Cream 5G W/O Dressing Box"
"10399","Emla Homecare"
"10400","Emla With Dressings (Homecare)"
"10401","EMTANSINE TRASTUZUMAB (KADCYLA)"
"10402","EMTRICIT 200MG/ TENOFOV DISOP 245MG TAB VIA HOMECARE(30)"
"10403","EMTRICIT 200mg/!TENOFOV DISOP 245mg!TAB VIA HOMECARE(30)"
"10404","Emtricitabine"
"10405","EMTRICITABINE"
"10406","EMTRICITABINE  RILPIVIRINE & TENOFOVIR"
"10407","EMTRICITABINE & TENOFOVIR DISOPROXIL"
"10408","EMTRICITABINE (HOMECARE)"
"10409","EMTRICITABINE / TENOFOVIR DISOPROXIL"
"10410","EMTRICITABINE / TENOFOVIR DISOPROXIL 200mg / 245mg"
"10411","EMTRICITABINE +  TENOFOVIR"
"10412","EMTRICITABINE + RILPIVIRINE + TENOFOVIR ALAFENAMIDE"
"10413","EMTRICITABINE + TENOFOVIR"
"10414","EMTRICITABINE + TENOFOVIR 200mg/245mg  Tablets"
"10415","EMTRICITABINE + TENOFOVIR ALAFENAMIDE"
"10416","EMTRICITABINE + TENOFOVIR ALAFENAMIDE (DESCOVY (EMTRICITABINE 200MG / TENOFOVIR ALAFENAMIDE 25MG)  Tablets)"
"10417","EMTRICITABINE + TENOFOVIR DISOPROXIL"
"10418","EMTRICITABINE 200 mg Capsules"
"10419","Emtricitabine 200MG"
"10420","EMTRICITABINE 200mg / RILPIVIRINE 25mg / TENOFOVIR 245mg (EVIPLERA) Tablets *"
"10421","EMTRICITABINE 200MG / TENOFOVIR 10MG TABBenefit Share"
"10422","EMTRICITABINE 200mg / TENOFOVIR 245mg [TRUVADA]  Tablets"
"10423","Emtricitabine 200mg / Tenofovir 245mg tablets"
"10424","EMTRICITABINE 200MG / TENOFOVIR 25MG TABBenefit Share"
"10425","EMTRICITABINE 200mg / TENOFOVIR ALAFENAMIDE 10mg"
"10426","EMTRICITABINE 200mg / TENOFOVIR ALAFENAMIDE 10mg  Film Coated Tablets"
"10427","EMTRICITABINE 200MG / TENOFOVIR ALAFENAMIDE 10MG T"
"10428","EMTRICITABINE 200mg / TENOFOVIR ALAFENAMIDE 25mg"
"10429","EMTRICITABINE 200mg / TENOFOVIR ALAFENAMIDE 25mg  Film Coated Tablets"
"10430","EMTRICITABINE 200MG / TENOFOVIR ALAFENAMIDE 25MG T"
"10431","Emtricitabine 200mg / Tenofovir alafenamide 25mg tablets"
"10432","EMTRICITABINE 200MG / TENOFOVIR ALAFENAMIDE 25MG TABLETS"
"10433","Emtricitabine 200mg / Tenofovir alafenamide 25mg tablets 30 tablet"
"10434","EMTRICITABINE 200mg / TENOFOVIR DISOPROXIL 245mg"
"10435","EMTRICITABINE 200mg / TENOFOVIR DISOPROXIL 245mg (HOMECARE)"
"10436","EMTRICITABINE 200mg / TENOFOVIR DISOPROXIL 245mg (PRE-PACK)"
"10437","EMTRICITABINE 200mg + TENOFOVIR DISOPROXIL 245mg"
"10438","EMTRICITABINE 200mg and TENOFOVIR ALAFENAMIDE 25mg (DESCOVY)"
"10439","EMTRICITABINE 200mg and TENOFOVIR DISOPROXIL 245mg (TRUVADA)  Tablets"
"10440","Emtricitabine 200mg capsules"
"10441","EMTRICITABINE 200MG CAPSULES            Benefit Share"
"10442","EMTRICITABINE 200MG CAPSULESBenefit Share"
"10443","Emtricitabine 200MG Tenofovir 245MG Tabs"
"10444","Emtricitabine 200mg Tenofovir Alafenamide 10mg Tablet"
"10445","Emtricitabine 200mg Tenofovir Alafenamide 25mg Tablet"
"10446","EMTRICITABINE 200mg with TENOFOVIR DISOPROXIL 245mg"
"10447","EMTRICITABINE 200mg/"
"10448","EMTRICITABINE 200mg/ TENOFOVIR ALAFENAMIDE 25mg TAB (30)"
"10449","EMTRICITABINE 200MG/ TENOFOVIR DISOPROXIL 245MG TAB (30)"
"10450","EMTRICITABINE 200mg/!TENOFOVIR 10mg!TABS VIA HOMECARE"
"10451","EMTRICITABINE 200mg/!TENOFOVIR 25mg!TAB (30)VIA HOMECARE"
"10452","EMTRICITABINE 200mg/!TENOFOVIR ALAFENAMIDE 10mg!TABLETS"
"10453","EMTRICITABINE 200mg/!TENOFOVIR ALAFENAMIDE 25mg!TABLETS"
"10454","EMTRICITABINE 200mg/!TENOFOVIR DISOPROXIL 245mg!TA"
"10455","EMTRICITABINE 200mg/!TENOFOVIR DISOPROXIL 245mg!TAB (30)"
"10456","EMTRICITABINE 200mg/!TENOFOVIR DISOPROXIL 245mg!TABLETS"
"10457","EMTRICITABINE 200mg/TENOFOVIR 245mg HOMECARE"
"10458","EMTRICITABINE 200MG/TENOFOVIR 245MG TABLETS(30TABS)"
"10459","EMTRICITABINE 200mg/TENOFOVIR ALAFENAMIDE 10mg TAB"
"10460","EMTRICITABINE 200mg/TENOFOVIR ALAFENAMIDE 25mg TAB"
"10461","EMTRICITABINE 200mg/TENOFOVIR DISOPROXIL 245mg  T"
"10462","EMTRICITABINE 200mg/TENOFOVIR DISOPROXIL 245mg  Ta"
"10463","EMTRICITABINE 200mg/TENOFOVIR disoproxil 245mg (wa"
"10464","EMTRICITABINE 200mg/TENOFOVIR!ALAFENAMIDE 25mg!TABLETS"
"10465","Emtricitabine and tenofovir disoproxil fumarate"
"10466","EMTRICITABINE TENOFOVIR"
"10467","EMTRICITABINE WITH TENOFOVIR"
"10468","emtricitabine with tenofovir disoproxil"
"10469","EMTRICITABINE with TENOFOVIR DISOPROXIL"
"10470","EMTRICITABINE!200mg!CAPSULES"
"10471","EMTRICITABINE/TENOFOVIR ALAFENAMIDE"
"10472","EMTRICITABINE/TENOFOVIR DISOPROXI"
"10473","EMTRICITABINE/TENOFOVIR DISOPROXIL"
"10474","EMTRICITABINEWITHTENOFOVIRTABLET200mg/10mg"
